"TimeGenerated","Message"
"10-02-2026 02:11:27 PM","Activation context generation failed for ""C:\Program Files\MetaTrader 5\terminal64.exe"".Error in manifest or policy file ""C:\Program Files\MetaTrader 5\terminal64.exe"" on line 0.
Invalid Xml syntax."
"10-02-2026 02:09:57 PM","Activation context generation failed for ""C:\Program Files\MetaTrader 5\terminal64.exe"".Error in manifest or policy file ""C:\Program Files\MetaTrader 5\terminal64.exe"" on line 0.
Invalid Xml syntax."
"10-02-2026 02:09:57 PM","Activation context generation failed for ""C:\Program Files\MetaTrader 5\terminal64.exe"".Error in manifest or policy file ""C:\Program Files\MetaTrader 5\terminal64.exe"" on line 0.
Invalid Xml syntax."
"10-02-2026 02:09:23 PM","Activation context generation failed for ""C:\Program Files\MetaTrader 5\terminal64.exe"".Error in manifest or policy file ""C:\Program Files\MetaTrader 5\terminal64.exe"" on line 0.
Invalid Xml syntax."
"10-02-2026 02:04:41 PM","Activation context generation failed for ""C:\Program Files\MetaTrader 5\terminal64.exe"".Error in manifest or policy file ""C:\Program Files\MetaTrader 5\terminal64.exe"" on line 0.
Invalid Xml syntax."
"10-02-2026 02:02:38 PM","Activation context generation failed for ""C:\Program Files\MetaTrader 5\terminal64.exe"".Error in manifest or policy file ""C:\Program Files\MetaTrader 5\terminal64.exe"" on line 0.
Invalid Xml syntax."
"10-02-2026 02:02:11 PM","Activation context generation failed for ""C:\Program Files\MetaTrader 5\terminal64.exe"".Error in manifest or policy file ""C:\Program Files\MetaTrader 5\terminal64.exe"" on line 0.
Invalid Xml syntax."
"10-02-2026 02:01:37 PM","Activation context generation failed for ""C:\Program Files\MetaTrader 5\terminal64.exe"".Error in manifest or policy file ""C:\Program Files\MetaTrader 5\terminal64.exe"" on line 0.
Invalid Xml syntax."
"10-02-2026 01:54:25 PM","Activation context generation failed for ""C:\Program Files\MetaTrader 5\terminal64.exe"".Error in manifest or policy file ""C:\Program Files\MetaTrader 5\terminal64.exe"" on line 0.
Invalid Xml syntax."
"10-02-2026 01:49:55 PM","Activation context generation failed for ""C:\Program Files\MetaTrader 5\terminal64.exe"".Error in manifest or policy file ""C:\Program Files\MetaTrader 5\terminal64.exe"" on line 0.
Invalid Xml syntax."
